city,districts,state,Environmental Stance,Latitude,Longitude,aqi,idx,carbon_intensity,temp_f,is_day,wind_mph,wind_degree,pressure_in,precip_in,humidity,cloud,feelslike_f,windchill_f,heatindex_f,dewpoint_f,vis_miles,uv,gust_mph,livability,livability_percentile
New York,"['NY-10', 'NY-12', 'NY-13']",New York,100.0,40.7143528,-74.0059731,16.0,3307.0,273.0,75.9,1.0,2.2,283.0,29.8,0.0,45.0,25.0,76.2,79.1,78.4,47.9,9.0,7.0,15.4,71.52652238195851,8.811748998664887
Buffalo,['NY-26'],New York,97.2222222222222,42.8864468,-78.8783689,19.0,5879.0,273.0,66.0,1.0,13.6,260.0,29.82,0.01,59.0,100.0,66.0,61.0,62.0,53.5,9.0,4.0,20.3,72.84448368302408,71.42857142857143
Rochester,['MN-1'],Minnesota,0.0,43.145021,-77.557608,35.0,9597.0,532.0,70.0,1.0,11.9,280.0,29.79,0.0,53.0,75.0,70.0,66.3,66.3,53.5,9.0,4.0,22.1,72.95407221001271,75.03337783711615
Yonkers,['NY-16'],New York,97.2222222222222,40.848913,-73.930604,57.0,64.0,273.0,79.0,1.0,15.0,280.0,29.76,0.0,38.0,25.0,78.4,77.2,77.3,47.9,9.0,7.0,19.5,70.92205049959648,1.4686248331108143
Syracuse,['NY-24'],New York,0.0,43.052351,-76.059185,19.0,11437.0,273.0,73.9,1.0,15.0,310.0,29.77,0.0,46.0,75.0,77.1,66.4,66.4,53.1,9.0,5.0,16.4,73.25615292111478,81.57543391188251
Albany,['GA-2'],Georgia,0.0,42.642253,-73.754576,33.0,5100.0,451.0,71.1,1.0,10.5,260.0,29.75,0.01,53.0,75.0,71.1,67.6,67.6,54.6,9.0,4.0,14.7,72.87188432011625,71.82910547396529
New Rochelle,['NY-16'],New York,97.2222222222222,40.815517,-73.885552,16.0,60.0,273.0,78.1,1.0,13.6,290.0,29.76,0.0,36.0,75.0,77.7,77.2,77.3,47.5,9.0,7.0,14.9,71.65923786082004,10.413885180240321
Mount Vernon,['NY-16'],New York,97.2222222222222,40.848913,-73.930604,57.0,64.0,273.0,78.1,1.0,13.6,290.0,29.76,0.0,36.0,75.0,77.7,77.2,77.3,47.6,9.0,7.0,14.5,70.96065071234112,2.1361815754339117
Schenectady,['NY-20'],New York,100.0,42.642253,-73.754576,33.0,5100.0,273.0,70.0,1.0,9.4,270.0,29.75,0.0,56.0,75.0,70.0,67.0,67.0,53.9,9.0,5.0,15.4,71.92076858413532,17.623497997329775
Utica,['NY-22'],New York,8.333333333333332,43.098908,-75.22507,11.0,5101.0,273.0,66.9,1.0,13.6,270.0,29.76,0.0,57.0,100.0,66.9,63.7,63.8,51.9,9.0,5.0,18.8,72.94820314841779,74.89986648865154
White Plains,['NY-17'],New York,19.444444444444446,41.051896,-73.763648,8.0,58.0,273.0,75.9,1.0,18.6,300.0,29.76,0.0,42.0,75.0,76.9,74.4,76.4,49.1,9.0,6.0,23.0,71.8145131621517,12.416555407209612
Hempstead,['NY-4'],New York,0.0,40.743156,-73.585513,32.0,63.0,273.0,81.0,1.0,19.2,290.0,29.76,0.0,34.0,75.0,80.0,77.9,77.8,48.4,9.0,7.0,23.7,72.13990661213786,35.24699599465955
Troy,['MI-11'],Michigan,100.0,42.642253,-73.754576,33.0,5100.0,532.0,74.1,1.0,5.6,320.0,29.81,0.0,40.0,100.0,76.9,67.2,69.7,52.1,9.0,5.0,10.1,71.51183447340193,8.678237650200266
Niagara Falls,['NY-26'],New York,97.2222222222222,42.998136,-78.899312,7.0,5881.0,72.0,69.1,1.0,16.1,280.0,29.81,0.02,42.0,50.0,69.1,61.3,62.5,53.8,9.0,4.0,22.6,74.2179735778853,89.05206942590121
Binghamton,['NY-22'],New York,8.333333333333332,41.4428,-75.6231,30.0,5906.0,273.0,69.1,1.0,13.6,300.0,29.79,0.0,47.0,50.0,69.1,69.4,71.6,49.3,9.0,6.0,14.9,71.56076782249055,9.479305740987984
Freeport,['NY-4'],New York,0.0,40.743156,-73.585513,32.0,63.0,273.0,81.0,1.0,19.2,290.0,29.76,0.0,34.0,75.0,81.1,75.9,77.3,51.9,9.0,6.0,20.2,72.14844766845651,35.78104138851803
Valley Stream,['NY-4'],New York,0.0,40.739264,-73.817694,35.0,9596.0,273.0,81.0,1.0,19.2,290.0,29.76,0.0,34.0,75.0,80.7,76.8,77.6,51.1,9.0,7.0,23.7,72.08908451944541,31.108144192256344
Los Angeles,"['CA-34', 'CA-37', 'CA-40']",California,68.51851851851852,34.06653,-118.22676,50.0,243.0,58.0,70.0,1.0,10.5,260.0,29.95,0.0,64.0,100.0,70.0,76.9,78.0,54.6,9.0,7.0,10.6,72.33226357140502,48.33110814419226
San Diego,"['CA-52', 'CA-53']",California,100.0,32.7101770008584,-117.142665,60.0,13063.0,58.0,66.0,1.0,2.2,246.0,29.98,0.0,73.0,75.0,66.0,69.2,69.2,56.5,9.0,6.0,10.0,72.44904772500993,56.475300400534046
San Jose,['CA-19'],California,97.2222222222222,37.34849,-121.89494,50.0,3902.0,58.0,73.9,1.0,13.6,320.0,29.9,0.0,50.0,75.0,74.2,83.4,81.1,46.7,9.0,7.0,18.1,72.21178624778878,38.71829105473965
San Francisco,['CA-12'],California,88.88888888888889,37.76595,-122.39902,38.0,3900.0,58.0,62.1,1.0,9.4,270.0,29.93,0.0,75.0,75.0,62.1,58.4,59.1,50.7,9.0,3.0,16.0,73.30782600210553,81.97596795727637
Fresno,['CA-22'],California,16.666666666666664,36.78538,-119.77321,30.0,276.0,58.0,88.5,1.0,6.9,240.0,29.83,0.0,27.0,0.0,84.5,92.4,89.1,40.0,9.0,8.0,11.4,72.47918333292871,59.14552736982643
Sacramento,"['CA-6', 'CA-7']",California,0.0,38.56844,-121.49311,23.0,304.0,271.0,80.1,1.0,6.9,190.0,29.81,0.0,44.0,0.0,78.4,85.8,83.8,50.5,9.0,7.0,9.5,72.45838316739281,57.543391188251
Long Beach,['CA-47'],California,94.44444444444444,33.7924,-118.17525,56.0,247.0,58.0,73.0,1.0,8.1,220.0,29.95,0.0,57.0,75.0,76.8,68.6,68.6,56.5,9.0,6.0,10.3,72.69015558407052,67.28971962616822
Oakland,['CA-13'],California,5.555555555555555,37.793635,-122.263356,55.0,5363.0,58.0,62.1,1.0,9.4,270.0,29.93,0.0,75.0,75.0,62.1,62.8,62.9,51.0,9.0,4.0,12.3,73.75731097636027,87.44993324432578
Bakersfield,['CA-23'],California,5.555555555555555,35.35662,-119.06261,33.0,279.0,58.0,93.9,1.0,11.9,330.0,29.79,0.0,21.0,0.0,90.4,96.2,93.6,43.1,9.0,9.0,16.3,72.70768526600011,67.8237650200267
Anaheim,['CA-46'],California,94.44444444444444,33.83061,-117.9385,46.0,317.0,58.0,73.0,1.0,2.2,220.0,29.93,0.0,57.0,75.0,76.5,73.7,76.6,56.1,9.0,6.0,11.3,72.1946183947264,37.917222963951936
Santa Ana,['CA-46'],California,94.44444444444444,33.83061,-117.9385,46.0,317.0,58.0,69.1,1.0,10.5,200.0,29.95,0.0,63.0,75.0,69.1,72.6,76.2,56.5,9.0,6.0,11.3,72.4044431093859,53.00400534045394
Riverside,['CA-41'],California,11.11111111111111,33.99952,-117.41595,52.0,252.0,58.0,78.1,1.0,8.1,290.0,29.92,0.0,52.0,0.0,77.9,83.3,82.5,53.9,9.0,7.0,9.8,72.25079452623926,41.1214953271028
Stockton,['CA-9'],California,0.0,37.95075,-121.26897,42.0,285.0,58.0,84.9,1.0,9.4,280.0,29.82,0.0,37.0,0.0,81.0,91.3,88.1,44.4,9.0,8.0,13.9,73.4008117492618,83.31108144192257
Chula Vista,['CA-51'],California,100.0,32.7101770008584,-117.142665,60.0,13063.0,58.0,104.4,1.0,3.8,230.0,29.71,0.0,13.0,0.0,108.0,71.0,75.8,56.2,9.0,6.0,10.6,72.150427206299,36.048064085447265
Irvine,['CA-45'],California,0.0,33.83061,-117.9385,46.0,317.0,58.0,69.1,1.0,10.5,200.0,29.95,0.0,63.0,75.0,69.1,71.0,75.6,57.2,9.0,6.0,15.0,73.46785606322265,84.37917222963952
Fremont,['CA-17'],California,100.0,37.70122,-121.90302,65.0,13069.0,58.0,66.4,1.0,13.6,350.0,29.91,0.0,68.0,50.0,66.4,76.1,76.6,48.3,9.0,6.0,18.1,72.18046769103255,36.9826435246996
San Bernardino,['CA-31'],California,63.888888888888886,33.99952,-117.41595,52.0,252.0,58.0,80.8,1.0,8.1,270.0,29.93,0.0,37.0,0.0,79.6,84.2,83.0,52.8,4.0,7.0,8.2,72.23056354828365,39.65287049399199
Modesto,['CA-10'],California,91.66666666666666,37.64217,-120.99421,42.0,287.0,449.0,84.9,1.0,2.2,340.0,29.81,0.0,35.0,0.0,81.0,93.1,90.0,43.1,9.0,8.0,5.4,70.87441168114034,1.2016021361815754
Fontana,['CA-31'],California,63.888888888888886,33.99952,-117.41595,52.0,252.0,58.0,77.5,1.0,10.5,260.0,29.92,0.0,45.0,50.0,77.3,82.6,81.6,52.1,8.0,7.0,15.0,72.27764696064393,44.192256341789054
Oxnard,['CA-26'],California,97.2222222222222,34.25238,-119.14318,50.0,264.0,58.0,63.0,1.0,6.9,250.0,29.96,0.0,87.0,100.0,63.0,65.2,65.2,58.1,9.0,5.0,10.0,73.1139545938971,79.97329773030708
Chicago,"['IL-1', 'IL-2', 'IL-3', 'IL-4', 'IL-5', 'IL-7', 'IL-9']",Illinois,0.0,41.9136,-87.7239,12.0,7397.0,349.0,95.1,1.0,9.6,249.0,29.78,0.0,21.0,2.0,92.7,95.1,92.7,50.2,6.0,9.0,11.1,72.82670450647807,71.16154873164218
Aurora,['CO-6'],Colorado,0.0,41.7714,-88.1522,18.0,9535.0,446.0,85.6,1.0,3.8,30.0,29.95,0.01,28.0,75.0,89.2,71.0,72.0,54.8,9.0,5.0,18.0,72.72045862100353,68.35781041388518
Rockford,['IL-16'],Illinois,5.555555555555555,42.267002,-89.08917,13.0,11934.0,349.0,60.1,1.0,15.0,360.0,29.85,0.01,93.0,100.0,60.1,58.8,59.8,56.3,0.0,3.0,19.5,72.8825307504545,72.22963951935914
Joliet,['IL-11'],Illinois,97.2222222222222,41.526885,-88.116474,16.0,9640.0,349.0,76.3,1.0,2.2,10.0,29.74,0.01,64.0,100.0,80.1,70.6,75.7,65.0,9.0,5.0,13.7,71.55393928150221,9.345794392523365
